image_pathname,class
../datasets/animals-dataset/raw-img/cane/OIP-uT4F_VuOJR4xVk2Ka-jQzAHaLM.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-VzubOr7Fzau8e31_GWHtcQHaJj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-0YsYBkNjUXqvOr300zCUsgHaJV.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-b55QXxuwXAPXdamn43Sy_wHaEG.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-80n45BIJFJ3egbwA5JWb7AHaEK.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-_jcAqikxkDv1KOmbCr4J2gHaHr.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-A-Piz2jNj3iHWJIxzfDvgwHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-sfXtnqV1Eup7ITmYxpbfUwHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-dwf1rnAnm2W33T8qUSEd2QHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-itVwY4JbgR28Adp6YuajsQHaF7.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-7z72RHaCDayOJQW0gadlWwHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-VGhTP_dY4bM91uNMKLsp6QHaE6.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Qbl-OsJ88RFAy1vmu2TcFQHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-WkNdW9sjhSivob9AsQL16AHaJ2.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-8NPJsCNXQKb3dGjbYjqzbAHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-uU5yHtYhsUIjKTIgSJlZPQHaEu.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-iztOZDjePnSqL8igqGjFLgHaFc.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-tfGV1fucNYVTSSq1pyjJPgHaEK.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-pe1pfzQ8qKuVuxThJPoDhgHaJa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-kr0MlYBWoVM03dgAyrxlowHaLJ.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-GTozrimbElTOWGIsPyN2ggHaFD.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Q30A9AaRef_PYrEvKMb3YgHaG5.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-nGuJV8ykrD7dE3L0WAY_WAHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-ysBAYy3a2FHEeEOtGMHzYQHaE4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Y7br128-4XlDtsP2J4vjogHaEP.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-9FGGtXujZbBlnzMp-e9CmAHaGQ.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-tAQMGn7PrOlkC9khpi-RQwHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-_GmIl90tmXb9c72orTGKEQHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-DC1QwP_0tl5MZLPnjeEVFAHaE3.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-dUcwZOw1YkPSPKIHe6FxtwHaEK.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-7rwYg4MvH6_EJkUqg0ZB6QHaG2.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-sjQDGOKu-Kn438_GcmEOpgHaEk.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Dma9Drvy3E1u_la5Ku4ZUQEsEs.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-9MIjrwhYU5a2Q6rTQAf_KgHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-i9sUqVMz6eUryIIU7xncbAHaE8.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-7sFCz4J1Ofbb_2hU7DUXWQHaFD.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-q0OwMiPTwIKnJa_F7DZ3YQHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-b0AL6Xph5XPdHHlyT0lwGgHaHh.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-wEpxpLVZkTTfCvej4nV7vgHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-YTwc1wLZYAra8E76c2XilwHaGG.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-vdxnRL7ez7R9ntTQ7SRqKwHaJ2.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-wLoJMNLAHbhmv5DuI1wSdAHaH7.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-JPm1KwiUk2PGfotbPv7LmwHaH6.jpeg,dog
